ReportYear,FiceCode,Institution,CohortYear4yr,CohortCount4yr,GradRate4yr,CohortYear5yr,CohortCount5yr,GradRate5yr,CohortYear6yr,CohortCount6yr,GradRate6yr
2021,042421,University of North Texas at Dallas,2017,290,0.3,2016,257,0.4,2015,215,0.5
2021,003665,West Texas A&M University,2017,1229,0.3,2016,1304,0.5,2015,1382,0.5
2022,003541,Angelo State University,2018,1363,0.3,2017,1368,0.4,2016,1452,0.5
2022,003581,Lamar University,2018,1431,0.2,2017,1447,0.3,2016,1457,0.4
2022,003592,Midwestern State University,2018,866,0.3,2017,814,0.4,2016,728,0.5
2022,003630,Prairie View A&M University,2018,2176,0.2,2017,2047,0.4,2016,1834,0.5
2022,003606,Sam Houston State University,2018,2827,0.4,2017,2780,0.6,2016,2667,0.6
2022,003624,Stephen F. Austin State University,2018,2175,0.4,2017,2317,0.6,2016,2328,0.6
2022,003625,Sul Ross State University,2018,344,0.3,2017,328,0.3,2016,349,0.3
2022,003631,Tarleton State University,2018,2046,0.4,2017,1743,0.6,2016,2043,0.6
2022,009651,Texas A&M International University,2018,1319,0.3,2017,1194,0.5,2016,1096,0.6
2022,003632,Texas A&M University,2018,9682,0.6,2017,9670,0.8,2016,8513,0.9
2022,010298,Texas A&M University at Galveston,2018,359,0.5,2017,427,0.7,2016,439,0.8
2022,003565,Texas A&M University-Commerce,2018,876,0.3,2017,860,0.5,2016,1011,0.5
2022,011161,Texas A&M University-Corpus Christi,2018,1917,0.3,2017,2227,0.4,2016,2384,0.5
2022,003639,Texas A&M University-Kingsville,2018,1213,0.3,2017,1078,0.5,2016,1200,0.5
2022,042485,Texas A&M University-San Antonio,2018,516,0.2,2017,545,0.3,2016,482,0.4
2022,029269,Texas A&M University-Texarkana,2018,231,0.2,2017,237,0.4,2016,202,0.3
2022,003642,Texas Southern University,2018,1530,0.1,2017,1781,0.2,2016,1246,0.3
2022,003615,Texas State University,2018,5966,0.4,2017,5732,0.6,2016,5573,0.7
2022,003644,Texas Tech University,2018,6083,0.5,2017,5789,0.7,2016,4687,0.7
2022,003646,Texas Woman's University,2018,1226,0.3,2017,1266,0.5,2016,1292,0.5
2022,003656,The University of Texas at Arlington,2018,3395,0.4,2017,3163,0.6,2016,2898,0.7
2022,003658,The University of Texas at Austin,2018,8816,0.7,2017,8238,0.9,2016,8566,0.9
2022,030646,The University of Texas at Brownsville,2018,,,2017,,,2016,,
2022,009741,The University of Texas at Dallas,2018,3751,0.6,2017,3085,0.7,2016,3137,0.7
2022,003661,The University of Texas at El Paso,2018,2896,0.2,2017,3084,0.4,2016,3004,0.5
2022,010115,The University of Texas at San Antonio,2018,4864,0.4,2017,4946,0.6,2016,4306,0.7
2022,011163,The University of Texas at Tyler,2018,824,0.5,2017,649,0.6,2016,815,0.6
2022,103599,The University of Texas-Pan American,2018,,,2017,,,2016,,
2022,009930,The University of Texas-Permian Basin,2018,371,0.3,2017,432,0.4,2016,452,0.5
2022,003599,The University of Texas-Rio Grande Valley,2018,4234,0.3,2017,4197,0.5,2016,3616,0.6
2022,003652,University of Houston,2018,4919,0.4,2017,4746,0.6,2016,4263,0.7
2022,011711,University of Houston-Clear Lake,2018,246,0.4,2017,234,0.5,2016,227,0.7
2022,012826,University of Houston-Downtown,2018,973,0.2,2017,856,0.3,2016,829,0.4
2022,013231,University of Houston-Victoria,2018,307,0.2,2017,289,0.2,2016,313,0.3
2022,003594,University of North Texas,2018,4511,0.5,2017,4581,0.6,2016,4454,0.6
2022,042421,University of North Texas at Dallas,2018,353,0.3,2017,290,0.4,2016,257,0.5
2022,003665,West Texas A&M University,2018,1170,0.3,2017,1229,0.5,2016,1304,0.5
